route_id,airline_code,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
12710,AZ,596,CDG,1382,LIS,1638,Y,0,320 318 319 321
12711,AZ,596,CDG,1382,MAN,478,Y,0,320 321
12712,AZ,596,CDG,1382,MEX,1824,Y,0,744 787
12713,AZ,596,CDG,1382,MIA,3576,Y,0,77W
12714,AZ,596,CDG,1382,MPL,1359,Y,0,318 319 320 32A
12715,AZ,596,CDG,1382,MRS,1353,Y,0,319
12716,AZ,596,CDG,1382,NAP,1561,Y,0,321
12717,AZ,596,CDG,1382,NCL,521,Y,0,AR8
12718,AZ,596,CDG,1382,NTE,1418,Y,0,321 318 319 320
12719,AZ,596,CDG,1382,NUE,347,Y,0,E70
12720,AZ,596,CDG,1382,OSL,644,Y,0,E90
12721,AZ,596,CDG,1382,PMO,1512,Y,0,320
12722,AZ,596,CDG,1382,PRG,1587,Y,0,321 320 32A
12723,AZ,596,CDG,1382,PUF,1274,Y,0,E90
12724,AZ,596,CDG,1382,PUJ,1760,Y,0,744
12725,AZ,596,CDG,1382,RNS,1415,Y,0,AT7
12726,AZ,596,CDG,1382,SCL,2650,Y,0,772 77W
12727,AZ,596,CDG,1382,SEA,3577,Y,0,332
12728,AZ,596,CDG,1382,SFO,3469,Y,0,388
12729,AZ,596,CDG,1382,SGN,3205,Y,0,777
12730,AZ,596,CDG,1382,STR,350,Y,0,AR8
12731,AZ,596,CDG,1382,SVG,666,Y,0,E70
12732,AZ,596,CDG,1382,SXM,2899,Y,0,343
12733,AZ,596,CDG,1382,TLS,1273,Y,0,320 319
12734,AZ,596,CDG,1382,TRN,1526,Y,0,E90 AR8 E70
12735,AZ,596,CDG,1382,TXL,351,Y,0,321 320
12736,AZ,596,CDG,1382,VCE,1551,Y,0,318 320 319 32A
12737,AZ,596,CDG,1382,VGO,1250,Y,0,E70
12738,AZ,596,CDG,1382,VRN,1550,Y,0,E70
12739,AZ,596,CDG,1382,YUL,146,Y,0,744 343
12740,AZ,596,CDG,1382,YYZ,193,Y,0,772
12741,AZ,596,CFE,1330,CDG,1382,Y,0,E70 E90
12742,AZ,596,CGK,3275,AUH,2179,,0,77W 332
12743,AZ,596,CGN,344,AMS,580,Y,0,F70
12744,AZ,596,CHA,3578,ATL,3682,Y,0,CRJ CR7
12745,AZ,596,CHS,3806,ATL,3682,Y,0,M88
12746,AZ,596,CIY,9327,LIN,1529,,0,E90
12747,AZ,596,CLE,3486,ATL,3682,Y,0,717
12748,AZ,596,CLJ,1652,OTP,1657,Y,0,318 AT7 AT5
12749,AZ,596,CLT,3876,ATL,3682,Y,0,M90
12750,AZ,596,CLY,1322,MRS,1353,,0,AT7
12751,AZ,596,CLY,1322,NCE,1354,Y,0,AT7
12752,AZ,596,CMB,3024,AUH,2179,Y,0,320
12753,AZ,596,CMB,3024,FCO,1555,Y,0,332 343
12754,AZ,596,CMH,3759,ATL,3682,Y,0,M88 319
12755,AZ,596,CMN,1074,FCO,1555,,0,32S 319 320 E90
12756,AZ,596,COK,3136,AUH,2179,,0,320
12757,AZ,596,CPH,609,AMS,580,Y,0,737
12758,AZ,596,CPH,609,CDG,1382,Y,0,318 319 320
12759,AZ,596,CPH,609,FCO,1555,,0,32S 319
12760,AZ,596,CPH,609,VCE,1551,Y,0,320
12761,AZ,596,CPT,797,AMS,580,Y,0,777
12762,AZ,596,CTA,1509,AMS,580,,0,320
12763,AZ,596,CTA,1509,BLQ,1538,,0,320
12764,AZ,596,CTA,1509,CDG,1382,Y,0,320
12765,AZ,596,CTA,1509,DUS,345,,0,320
12766,AZ,596,CTA,1509,FCO,1555,,0,32S 319 321 320
12767,AZ,596,CTA,1509,LGW,502,,0,320
12768,AZ,596,CTA,1509,LIN,1529,,0,319 320 E75 32S E90
12769,AZ,596,CTA,1509,LYS,1335,,0,320
12770,AZ,596,CTA,1509,MXP,1524,Y,0,320
12771,AZ,596,CTA,1509,NAP,1561,Y,0,E75
12772,AZ,596,CTA,1509,PSA,1562,Y,0,320
12773,AZ,596,CTA,1509,STR,350,,0,320
12774,AZ,596,CTA,1509,SVO,2985,,0,320
12775,AZ,596,CTA,1509,TRN,1526,Y,0,320
12776,AZ,596,CTA,1509,TXL,351,,0,320
12777,AZ,596,CTA,1509,VCE,1551,Y,0,320
12778,AZ,596,CTA,1509,VIE,1613,,0,320
12779,AZ,596,CTA,1509,VRN,1550,,0,320
12780,AZ,596,CTU,3395,AUH,2179,,0,332
12781,AZ,596,CUN,1852,ATL,3682,Y,0,757
12782,AZ,596,CVG,3488,ATL,3682,Y,0,M88 CR9
12783,AZ,596,CWL,488,AMS,580,Y,0,F70
12784,AZ,596,DAY,3627,ATL,3682,Y,0,M88
12785,AZ,596,DCA,3520,ATL,3682,Y,0,M88 M90
12786,AZ,596,DEL,3093,AUH,2179,,0,332 320
12787,AZ,596,DEL,3093,FCO,1555,Y,0,333
12788,AZ,596,DEL,3093,TPE,2276,Y,0,333
12789,AZ,596,DEN,3751,ATL,3682,Y,0,757
12790,AZ,596,DFW,3670,ATL,3682,Y,0,M88
12791,AZ,596,DKR,1084,CDG,1382,Y,0,77W
12792,AZ,596,DTW,3645,ATL,3682,Y,0,M88 73H M90 757
12793,AZ,596,DTW,3645,CDG,1382,Y,0,343
12794,AZ,596,DUB,599,CDG,1382,Y,0,AR8
12795,AZ,596,DUS,345,AMS,580,Y,0,F70
12796,AZ,596,DUS,345,CDG,1382,Y,0,318 320
12797,AZ,596,DUS,345,CTA,1509,,0,320
12798,AZ,596,DXB,2188,AMS,580,Y,0,777
12799,AZ,596,DXB,2188,CDG,1382,Y,0,77W
12800,AZ,596,EDI,535,CDG,1382,Y,0,AR8
12801,AZ,596,EVN,3964,CDG,1382,,0,320
12802,AZ,596,EVN,3964,FCO,1555,,0,32S 319
12803,AZ,596,EWR,3494,ATL,3682,Y,0,717
12804,AZ,596,EZE,3988,FCO,1555,,0,772
12805,AZ,596,FCO,1555,AGP,1230,,0,319 320
12806,AZ,596,FCO,1555,ALG,210,,0,32S 319
12807,AZ,596,FCO,1555,AMM,2170,,0,319 32S
12808,AZ,596,FCO,1555,AMS,580,,0,321 32S 320 319
12809,AZ,596,FCO,1555,AOI,4309,,0,E75
12810,AZ,596,FCO,1555,ATH,3941,,0,32S 321 319
12811,AZ,596,FCO,1555,ATL,3682,Y,0,333
12812,AZ,596,FCO,1555,AUH,2179,,0,330
12813,AZ,596,FCO,1555,BCN,1218,,0,320 32S 319 321
12814,AZ,596,FCO,1555,BDS,1506,,0,319 32S 321 320
12815,AZ,596,FCO,1555,BEG,1739,,0,E90 E75 32S 319
12816,AZ,596,FCO,1555,BEY,2177,,0,32S 319 320
12817,AZ,596,FCO,1555,BIO,1216,,0,320 32S
12818,AZ,596,FCO,1555,BLQ,1538,,0,319 E75
12819,AZ,596,FCO,1555,BOD,1264,,0,E70 E90 CR7
12820,AZ,596,FCO,1555,BOS,3448,,0,330 332
12821,AZ,596,FCO,1555,BRI,1501,,0,32S 321 319 320
12822,AZ,596,FCO,1555,BRU,302,,0,32S 320 319
12823,AZ,596,FCO,1555,BUD,1489,,0,32S 319
12824,AZ,596,FCO,1555,BZO,1536,,0,S20
12825,AZ,596,FCO,1555,CAG,1519,,0,319 32S 320 321
12826,AZ,596,FCO,1555,CAI,1128,,0,32S 319
12827,AZ,596,FCO,1555,CCS,2851,,0,330
12828,AZ,596,FCO,1555,CDG,1382,,0,321 32S 319
12829,AZ,596,FCO,1555,CMB,3024,Y,0,332 343
12830,AZ,596,FCO,1555,CMN,1074,,0,319 320 32S E90
12831,AZ,596,FCO,1555,CPH,609,,0,32S 319
12832,AZ,596,FCO,1555,CTA,1509,,0,321 32S 319 320
12833,AZ,596,FCO,1555,DEL,3093,Y,0,333
12834,AZ,596,FCO,1555,EVN,3964,,0,32S 319
12835,AZ,596,FCO,1555,EZE,3988,,0,772
12836,AZ,596,FCO,1555,FLR,1563,,0,319
12837,AZ,596,FCO,1555,FRA,340,,0,319 E75 E90 32S
12838,AZ,596,FCO,1555,GIG,2560,,0,330
12839,AZ,596,FCO,1555,GOA,1528,,0,E75 319 32S 320 E90
12840,AZ,596,FCO,1555,GRU,2564,,0,772
12841,AZ,596,FCO,1555,GVA,1665,,0,32S E75 319 E90
12842,AZ,596,FCO,1555,GYD,2922,Y,0,319
12843,AZ,596,FCO,1555,IAS,1655,,0,733
12844,AZ,596,FCO,1555,ICN,3930,Y,0,744
12845,AZ,596,FCO,1555,IKA,4330,,0,320
12846,AZ,596,FCO,1555,IST,1701,,0,321 32S 320
12847,AZ,596,FCO,1555,JED,2072,Y,0,320
12848,AZ,596,FCO,1555,JFK,3797,,0,772 330
12849,AZ,596,FCO,1555,KBP,2939,,0,32S
12850,AZ,596,FCO,1555,KIX,3992,,0,330
12851,AZ,596,FCO,1555,KWI,2176,Y,0,340
12852,AZ,596,FCO,1555,LAX,3484,,0,772
12853,AZ,596,FCO,1555,LCY,503,,0,E90
12854,AZ,596,FCO,1555,LED,2948,,0,32S 319
12855,AZ,596,FCO,1555,LHR,507,,0,321 32S 320
12856,AZ,596,FCO,1555,LIN,1529,,0,32S 319 E75 320 E90 321
12857,AZ,596,FCO,1555,LIS,1638,Y,0,320 321 319
12858,AZ,596,FCO,1555,LOS,273,,0,330
12859,AZ,596,FCO,1555,LUX,629,Y,0,DH4
12860,AZ,596,FCO,1555,LYS,1335,,0,CRK
12861,AZ,596,FCO,1555,MAD,1229,,0,32S 319 321 320
12862,AZ,596,FCO,1555,MIA,3576,,0,772 330
12863,AZ,596,FCO,1555,MLA,1606,,0,32S 320
12864,AZ,596,FCO,1555,MPL,1359,Y,0,E75 E90
12865,AZ,596,FCO,1555,MRS,1353,Y,0,319
12866,AZ,596,FCO,1555,MUC,346,,0,319 32S
12867,AZ,596,FCO,1555,MXP,1524,,0,E75 E90
12868,AZ,596,FCO,1555,NAP,1561,,0,32S 319
12869,AZ,596,FCO,1555,NCE,1354,,0,319 32S E75 321 E90
12870,AZ,596,FCO,1555,NRT,2279,,0,772
12871,AZ,596,FCO,1555,OPO,1636,Y,0,100
12872,AZ,596,FCO,1555,ORD,3830,,0,332 330
12873,AZ,596,FCO,1555,ORN,231,,0,E75
